,GC001,,,GC007,,,10Y国债收益(CGBB),,,1Y国债收益(CGBB),,,3Y国债收益(CGBB),,,5Y国债收益(CGBB),,,7Y国债收益(CGBB),,,FR001,,,FR007,,,IBO001,,,IBO007,,,1年期贷款基础利率,,,银买断1日,,,银买断7日,,,银质押1日,,,银质押7日,,,SHIBOR1周,,,SHIBOR隔夜
,204001.SH,,,204007.SH,,,CGB10Y.WI,,,CGB1Y.WI,,,CGB3Y.WI,,,CGB5Y.WI,,,CGB7Y.WI,,,FR001.IR,,,FR007.IR,,,IBO001.IB,,,IBO007.IB,,,LPR1Y.IR,,,OR001.IB,,,OR007.IB,,,R001.IB,,,R007.IB,,,SHIBOR1W.IR,,,SHIBORON.IR
日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close,,Date,close
2015-04-15,2.445,,2015-04-15,3.4,,2015-04-15,3.583,,2015-04-15,3.073,,2015-04-15,3.222,,2015-04-15,3.474,,2015-04-15,3.57,,2015-04-15,2.46,,2015-04-15,3,,2015-04-15,2.35,,2015-04-15,4,,2015-04-15,5.3,,2015-04-15,2.995,,2015-04-15,3.001,,2015-04-15,2.4,,2015-04-15,2.99,,2015-04-15,2.88,,2015-04-15,2.307
2015-04-16,3.105,,2015-04-16,3,,2015-04-16,3.546,,2015-04-16,3.064,,2015-04-16,3.208,,2015-04-16,3.466,,2015-04-16,3.536,,2015-04-16,2.38,,2015-04-16,3.03,,2015-04-16,2.3,,2015-04-16,3.2,,2015-04-16,5.3,,2015-04-16,2.754,,2015-04-16,2.999,,2015-04-16,2.29,,2015-04-16,2.98,,2015-04-16,2.884,,2015-04-16,2.298
2015-04-17,0.665,,2015-04-17,2.17,,2015-04-17,3.552,,2015-04-17,3.166,,2015-04-17,3.226,,2015-04-17,3.454,,2015-04-17,3.544,,2015-04-17,2.35,,2015-04-17,2.93,,2015-04-17,2.31,,2015-04-17,2.91,,2015-04-17,5.3,,2015-04-17,2.254,,2015-04-17,3.602,,2015-04-17,2.26,,2015-04-17,2.92,,2015-04-17,2.873,,2015-04-17,2.268
2015-04-20,0.67,,2015-04-20,0.99,,2015-04-20,3.454,,2015-04-20,3.083,,2015-04-20,3.156,,2015-04-20,3.307,,2015-04-20,3.444,,2015-04-20,2.1,,2015-04-20,2.81,,2015-04-20,2.13,,2015-04-20,2.73,,2015-04-20,5.3,,2015-04-20,0.096,,2015-04-20,3.24,,2015-04-20,2.1,,2015-04-20,2.79,,2015-04-20,2.732,,2015-04-20,2.087
2015-04-21,1.035,,2015-04-21,1.99,,2015-04-21,3.401,,2015-04-21,3.006,,2015-04-21,3.153,,2015-04-21,3.278,,2015-04-21,3.419,,2015-04-21,2.07,,2015-04-21,2.64,,2015-04-21,2.04,,2015-04-21,2.68,,2015-04-21,5.3,,2015-04-21,2.497,,2015-04-21,3.04,,2015-04-21,2,,2015-04-21,2.64,,2015-04-21,2.62,,2015-04-21,2.002
2015-04-22,1.405,,2015-04-22,1.795,,2015-04-22,3.402,,2015-04-22,2.994,,2015-04-22,3.15,,2015-04-22,3.288,,2015-04-22,3.462,,2015-04-22,1.99,,2015-04-22,2.61,,2015-04-22,2.1,,2015-04-22,3,,2015-04-22,5.3,,2015-04-22,2.21,,2015-04-22,2.82,,2015-04-22,1.92,,2015-04-22,2.6,,2015-04-22,2.567,,2015-04-22,1.949
2015-04-23,1.02,,2015-04-23,0.5,,2015-04-23,3.412,,2015-04-23,2.98,,2015-04-23,3.195,,2015-04-23,3.295,,2015-04-23,3.444,,2015-04-23,1.97,,2015-04-23,2.57,,2015-04-23,1.95,,2015-04-23,2.76,,2015-04-23,5.3,,2015-04-23,2.414,,2015-04-23,2.502,,2015-04-23,1.89,,2015-04-23,2.54,,2015-04-23,2.527,,2015-04-23,1.908
2015-04-24,1.03,,2015-04-24,1,,2015-04-24,3.445,,2015-04-24,2.938,,2015-04-24,3.214,,2015-04-24,3.313,,2015-04-24,3.422,,2015-04-24,1.89,,2015-04-24,2.6,,2015-04-24,1.9,,2015-04-24,2.76,,2015-04-24,5.3,,2015-04-24,2.306,,2015-04-24,3.01,,2015-04-24,1.8,,2015-04-24,2.47,,2015-04-24,2.488,,2015-04-24,1.851
2015-04-27,1.265,,2015-04-27,1.995,,2015-04-27,3.403,,2015-04-27,2.88,,2015-04-27,3.169,,2015-04-27,3.297,,2015-04-27,3.375,,2015-04-27,1.85,,2015-04-27,2.47,,2015-04-27,1.93,,2015-04-27,2.41,,2015-04-27,5.3,,2015-04-27,2.411,,2015-04-27,2.901,,2015-04-27,1.76,,2015-04-27,2.4,,2015-04-27,2.451,,2015-04-27,1.806
2015-04-28,0.95,,2015-04-28,1.175,,2015-04-28,3.38,,2015-04-28,2.846,,2015-04-28,3.172,,2015-04-28,3.283,,2015-04-28,3.36,,2015-04-28,1.8,,2015-04-28,2.48,,2015-04-28,1.8,,2015-04-28,2.5,,2015-04-28,5.3,,2015-04-28,2.244,,2015-04-28,3.081,,2015-04-28,1.75,,2015-04-28,2.48,,2015-04-28,2.438,,2015-04-28,1.759
2015-04-29,2.06,,2015-04-29,1.685,,2015-04-29,3.389,,2015-04-29,2.846,,2015-04-29,3.159,,2015-04-29,3.276,,2015-04-29,3.362,,2015-04-29,1.77,,2015-04-29,2.51,,2015-04-29,1.78,,2015-04-29,2.5,,2015-04-29,5.3,,2015-04-29,2.3,,2015-04-29,2.998,,2015-04-29,1.7,,2015-04-29,2.43,,2015-04-29,2.439,,2015-04-29,1.739
2015-04-30,0.515,,2015-04-30,1.62,,2015-04-30,3.333,,2015-04-30,2.717,,2015-04-30,3.136,,2015-04-30,3.278,,2015-04-30,3.362,,2015-04-30,1.72,,2015-04-30,2.45,,2015-04-30,1.65,,2015-04-30,2.8,,2015-04-30,5.3,,2015-04-30,1.643,,2015-04-30,2.998,,2015-04-30,1.62,,2015-04-30,1.61,,2015-04-30,2.43,,2015-04-30,1.69
2015-05-04,0.815,,2015-05-04,3.745,,2015-05-04,3.383,,2015-05-04,2.756,,2015-05-04,3.136,,2015-05-04,3.288,,2015-05-04,3.35,,2015-05-04,1.63,,2015-05-04,2.43,,2015-05-04,1.6,,2015-05-04,2.45,,2015-05-04,5.3,,2015-05-04,2.212,,2015-05-04,2.702,,2015-05-04,1.6,,2015-05-04,2.44,,2015-05-04,2.39,,2015-05-04,1.619
2015-05-05,0.22,,2015-05-05,2.24,,2015-05-05,3.428,,2015-05-05,2.756,,2015-05-05,3.161,,2015-05-05,3.275,,2015-05-05,3.361,,2015-05-05,1.65,,2015-05-05,2.52,,2015-05-05,1.61,,2015-05-05,3,,2015-05-05,5.3,,2015-05-05,1.79,,2015-05-05,2.551,,2015-05-05,1.53,,2015-05-05,2.47,,2015-05-05,2.368,,2015-05-05,1.564
2015-05-06,2.045,,2015-05-06,3.5,,2015-05-06,3.411,,2015-05-06,2.753,,2015-05-06,3.141,,2015-05-06,3.267,,2015-05-06,3.433,,2015-05-06,1.65,,2015-05-06,2.5,,2015-05-06,1.6,,2015-05-06,2.5,,2015-05-06,5.3,,2015-05-06,2.002,,2015-05-06,2.901,,2015-05-06,1.5,,2015-05-06,2.8,,2015-05-06,2.369,,2015-05-06,1.523
2015-05-07,3.1,,2015-05-07,1.95,,2015-05-07,3.423,,2015-05-07,2.734,,2015-05-07,3.116,,2015-05-07,3.245,,2015-05-07,3.442,,2015-05-07,1.6,,2015-05-07,2.4,,2015-05-07,1.55,,2015-05-07,2,,2015-05-07,5.3,,2015-05-07,1.862,,2015-05-07,2.89,,2015-05-07,1.47,,2015-05-07,2.4,,2015-05-07,2.355,,2015-05-07,1.489
2015-05-08,1.425,,2015-05-08,1.51,,2015-05-08,3.352,,2015-05-08,2.705,,2015-05-08,3.096,,2015-05-08,3.211,,2015-05-08,3.402,,2015-05-08,1.51,,2015-05-08,2.37,,2015-05-08,1.5,,2015-05-08,2.38,,2015-05-08,5.3,,2015-05-08,2.797,,2015-05-08,2.351,,2015-05-08,1.72,,2015-05-08,2.28,,2015-05-08,2.334,,2015-05-08,1.443
2015-05-11,0.585,,2015-05-11,1,,2015-05-11,3.37,,2015-05-11,2.668,,2015-05-11,3.073,,2015-05-11,3.188,,2015-05-11,3.413,,2015-05-11,1.42,,2015-05-11,2.35,,2015-05-11,1.4,,2015-05-11,2.8,,2015-05-11,5.05,,2015-05-11,3.002,,2015-05-11,2.7,,2015-05-11,1.35,,2015-05-11,2.21,,2015-05-11,2.245,,2015-05-11,1.345
2015-05-12,0.56,,2015-05-12,1.235,,2015-05-12,3.413,,2015-05-12,2.601,,2015-05-12,3.012,,2015-05-12,3.14,,2015-05-12,3.412,,2015-05-12,1.36,,2015-05-12,2.16,,2015-05-12,1.7,,2015-05-12,1.8,,2015-05-12,5.05,,2015-05-12,0.81,,2015-05-12,2.548,,2015-05-12,1.28,,2015-05-12,2.14,,2015-05-12,2.197,,2015-05-12,1.29
2015-05-13,0.67,,2015-05-13,1,,2015-05-13,3.398,,2015-05-13,2.472,,2015-05-13,3.094,,2015-05-13,3.08,,2015-05-13,3.389,,2015-05-13,1.31,,2015-05-13,2.09,,2015-05-13,1.3,,2015-05-13,2.24,,2015-05-13,5.05,,2015-05-13,1.685,,2015-05-13,2.098,,2015-05-13,1.23,,2015-05-13,2.09,,2015-05-13,2.149,,2015-05-13,1.247
2015-05-14,1.14,,2015-05-14,1.545,,2015-05-14,3.399,,2015-05-14,2.356,,2015-05-14,2.852,,2015-05-14,3.031,,2015-05-14,3.366,,2015-05-14,1.28,,2015-05-14,2,,2015-05-14,1.24,,2015-05-14,2.17,,2015-05-14,5.05,,2015-05-14,2.122,,2015-05-14,2.301,,2015-05-14,1.13,,2015-05-14,2.4,,2015-05-14,2.056,,2015-05-14,1.182
2015-05-15,0.59,,2015-05-15,0.415,,2015-05-15,3.349,,2015-05-15,2.426,,2015-05-15,2.78,,2015-05-15,3.068,,2015-05-15,3.36,,2015-05-15,1.16,,2015-05-15,1.92,,2015-05-15,1.15,,2015-05-15,2.05,,2015-05-15,5.05,,2015-05-15,1.345,,2015-05-15,2.242,,2015-05-15,1.05,,2015-05-15,1.9,,2015-05-15,1.962,,2015-05-15,1.078
2015-05-18,0.515,,2015-05-18,2.09,,2015-05-18,3.392,,2015-05-18,2.41,,2015-05-18,2.828,,2015-05-18,3.102,,2015-05-18,3.366,,2015-05-18,1.08,,2015-05-18,2,,2015-05-18,1.1,,2015-05-18,2.4,,2015-05-18,5.05,,2015-05-18,1.417,,2015-05-18,2.499,,2015-05-18,1.04,,2015-05-18,1.91,,2015-05-18,1.92,,2015-05-18,1.052
2015-05-19,0.955,,2015-05-19,1.4,,2015-05-19,3.445,,2015-05-19,2.433,,2015-05-19,2.876,,2015-05-19,3.132,,2015-05-19,3.377,,2015-05-19,1.16,,2015-05-19,1.91,,2015-05-19,1.08,,2015-05-19,2.1,,2015-05-19,5.05,,2015-05-19,1.011,,2015-05-19,1.995,,2015-05-19,1.1,,2015-05-19,1.97,,2015-05-19,1.925,,2015-05-19,1.033
2015-05-20,3.49,,2015-05-20,2.55,,2015-05-20,3.416,,2015-05-20,2.455,,2015-05-20,2.856,,2015-05-20,3.155,,2015-05-20,3.385,,2015-05-20,1.18,,2015-05-20,1.98,,2015-05-20,1.05,,2015-05-20,1.98,,2015-05-20,5.05,,2015-05-20,1.491,,2015-05-20,2.482,,2015-05-20,1.03,,2015-05-20,2,,2015-05-20,1.932,,2015-05-20,1.032
2015-05-21,2.54,,2015-05-21,1.2,,2015-05-21,3.418,,2015-05-21,2.426,,2015-05-21,2.843,,2015-05-21,3.12,,2015-05-21,3.377,,2015-05-21,1.21,,2015-05-21,1.99,,2015-05-21,1.1,,2015-05-21,2.12,,2015-05-21,5.05,,2015-05-21,0.895,,2015-05-21,1.93,,2015-05-21,1.03,,2015-05-21,2.02,,2015-05-21,1.944,,2015-05-21,1.033
2015-05-22,0.835,,2015-05-22,1.105,,2015-05-22,3.438,,2015-05-22,2.391,,2015-05-22,2.826,,2015-05-22,3.127,,2015-05-22,3.386,,2015-05-22,1.17,,2015-05-22,2.01,,2015-05-22,1.037,,2015-05-22,2.3,,2015-05-22,5.05,,2015-05-22,1.453,,2015-05-22,1.998,,2015-05-22,1.05,,2015-05-22,1.95,,2015-05-22,1.966,,2015-05-22,1.037
2015-05-25,0.015,,2015-05-25,1.1,,2015-05-25,3.416,,2015-05-25,2.212,,2015-05-25,2.846,,2015-05-25,3.223,,2015-05-25,3.373,,2015-05-25,1.13,,2015-05-25,2.006,,2015-05-25,1.1,,2015-05-25,2,,2015-05-25,5.05,,2015-05-25,3.187,,2015-05-25,1.998,,2015-05-25,1.03,,2015-05-25,2.2,,2015-05-25,1.968,,2015-05-25,1.039
2015-05-26,0.895,,2015-05-26,1.405,,2015-05-26,3.506,,2015-05-26,2.058,,2015-05-26,2.866,,2015-05-26,3.118,,2015-05-26,3.432,,2015-05-26,1.13,,2015-05-26,1.97,,2015-05-26,1.08,,2015-05-26,2.3,,2015-05-26,5.05,,2015-05-26,0.793,,2015-05-26,2.501,,2015-05-26,1.06,,2015-05-26,2.2,,2015-05-26,1.969,,2015-05-26,1.04
2015-05-27,0.585,,2015-05-27,2.25,,2015-05-27,3.506,,2015-05-27,1.866,,2015-05-27,2.847,,2015-05-27,3.192,,2015-05-27,3.472,,2015-05-27,1.18,,2015-05-27,2,,2015-05-27,1.1,,2015-05-27,1.93,,2015-05-27,5.05,,2015-05-27,1.508,,2015-05-27,2.347,,2015-05-27,1.05,,2015-05-27,1.95,,2015-05-27,1.967,,2015-05-27,1.04
2015-05-28,1.335,,2015-05-28,3.855,,2015-05-28,3.508,,2015-05-28,1.961,,2015-05-28,2.877,,2015-05-28,3.288,,2015-05-28,3.569,,2015-05-28,1.11,,2015-05-28,2.03,,2015-05-28,1.085,,2015-05-28,1.9,,2015-05-28,5.05,,2015-05-28,0.972,,2015-05-28,2.497,,2015-05-28,1.03,,2015-05-28,2.1,,2015-05-28,1.952,,2015-05-28,1.043
2015-05-29,0.435,,2015-05-29,4.74,,2015-05-29,3.546,,2015-05-29,1.98,,2015-05-29,2.902,,2015-05-29,3.251,,2015-05-29,3.595,,2015-05-29,1.15,,2015-05-29,2.08,,2015-05-29,1.08,,2015-05-29,2.7,,2015-05-29,5.05,,2015-05-29,0.996,,2015-05-29,2.361,,2015-05-29,1.02,,2015-05-29,1.94,,2015-05-29,1.972,,2015-05-29,1.039
2015-06-01,0.265,,2015-06-01,2.75,,2015-06-01,3.617,,2015-06-01,2.015,,2015-06-01,2.892,,2015-06-01,3.345,,2015-06-01,3.632,,2015-06-01,1.1,,2015-06-01,2.01,,2015-06-01,1.075,,2015-06-01,2.1,,2015-06-01,5.05,,2015-06-01,1.047,,2015-06-01,2,,2015-06-01,3.5,,2015-06-01,2.01,,2015-06-01,1.963,,2015-06-01,1.027
2015-06-02,0.21,,2015-06-02,1.62,,2015-06-02,3.548,,2015-06-02,2.008,,2015-06-02,2.879,,2015-06-02,3.216,,2015-06-02,3.6,,2015-06-02,1.12,,2015-06-02,2.25,,2015-06-02,1.07,,2015-06-02,1.7,,2015-06-02,5.05,,2015-06-02,1.309,,2015-06-02,3.001,,2015-06-02,1.05,,2015-06-02,2.3,,2015-06-02,1.977,,2015-06-02,1.034
2015-06-03,1.35,,2015-06-03,2.5,,2015-06-03,3.596,,2015-06-03,1.977,,2015-06-03,2.905,,2015-06-03,3.176,,2015-06-03,3.573,,2015-06-03,1.21,,2015-06-03,2.22,,2015-06-03,1.05,,2015-06-03,2.05,,2015-06-03,5.05,,2015-06-03,3.005,,2015-06-03,2.25,,2015-06-03,1.05,,2015-06-03,2.25,,2015-06-03,2.057,,2015-06-03,1.039
2015-06-04,1.625,,2015-06-04,1.2,,2015-06-04,3.574,,2015-06-04,1.922,,2015-06-04,2.893,,2015-06-04,3.201,,2015-06-04,3.545,,2015-06-04,1.15,,2015-06-04,2.23,,2015-06-04,1.03,,2015-06-04,2.3,,2015-06-04,5.05,,2015-06-04,1.527,,2015-06-04,2.644,,2015-06-04,1.06,,2015-06-04,2.16,,2015-06-04,2.122,,2015-06-04,1.047
2015-06-05,0.585,,2015-06-05,1.215,,2015-06-05,3.557,,2015-06-05,1.919,,2015-06-05,2.856,,2015-06-05,3.182,,2015-06-05,3.544,,2015-06-05,1.2,,2015-06-05,2.06,,2015-06-05,1.15,,2015-06-05,2.3,,2015-06-05,5.05,,2015-06-05,1.636,,2015-06-05,2.65,,2015-06-05,1.16,,2015-06-05,2.15,,2015-06-05,2.07,,2015-06-05,1.051
2015-06-08,0.62,,2015-06-08,1.155,,2015-06-08,3.58,,2015-06-08,1.886,,2015-06-08,2.886,,2015-06-08,3.205,,2015-06-08,3.509,,2015-06-08,1.14,,2015-06-08,2.06,,2015-06-08,1.15,,2015-06-08,2.14,,2015-06-08,5.05,,2015-06-08,0.863,,2015-06-08,2.751,,2015-06-08,1.08,,2015-06-08,2.06,,2015-06-08,2.043,,2015-06-08,1.061
2015-06-09,0.155,,2015-06-09,1.01,,2015-06-09,3.541,,2015-06-09,1.796,,2015-06-09,2.844,,2015-06-09,3.196,,2015-06-09,3.497,,2015-06-09,1.17,,2015-06-09,2.08,,2015-06-09,1.12,,2015-06-09,2.11,,2015-06-09,5.05,,2015-06-09,1.596,,2015-06-09,3.496,,2015-06-09,1.08,,2015-06-09,2.05,,2015-06-09,2.049,,2015-06-09,1.071
2015-06-10,0.615,,2015-06-10,1.4,,2015-06-10,3.589,,2015-06-10,1.794,,2015-06-10,2.853,,2015-06-10,3.206,,2015-06-10,3.523,,2015-06-10,1.17,,2015-06-10,2.12,,2015-06-10,1.13,,2015-06-10,2.08,,2015-06-10,5.05,,2015-06-10,1.543,,2015-06-10,2.541,,2015-06-10,1.07,,2015-06-10,2.05,,2015-06-10,2.052,,2015-06-10,1.083
2015-06-11,0.645,,2015-06-11,2,,2015-06-11,3.609,,2015-06-11,1.778,,2015-06-11,2.87,,2015-06-11,3.216,,2015-06-11,3.558,,2015-06-11,1.14,,2015-06-11,2.1,,2015-06-11,1.09,,2015-06-11,2,,2015-06-11,5.05,,2015-06-11,0.906,,2015-06-11,2.489,,2015-06-11,1.11,,2015-06-11,2.14,,2015-06-11,2.063,,2015-06-11,1.09
2015-06-12,0.73,,2015-06-12,2.19,,2015-06-12,3.548,,2015-06-12,1.74,,2015-06-12,2.871,,2015-06-12,3.2,,2015-06-12,3.554,,2015-06-12,1.19,,2015-06-12,2.22,,2015-06-12,1.25,,2015-06-12,2.24,,2015-06-12,5.05,,2015-06-12,0.802,,2015-06-12,2.109,,2015-06-12,1.09,,2015-06-12,2.1,,2015-06-12,2.085,,2015-06-12,1.104
2015-06-15,0.005,,2015-06-15,4.605,,2015-06-15,3.662,,2015-06-15,1.723,,2015-06-15,2.91,,2015-06-15,3.249,,2015-06-15,3.549,,2015-06-15,1.17,,2015-06-15,2.24,,2015-06-15,1.16,,2015-06-15,2.75,,2015-06-15,5.05,,2015-06-15,1.592,,2015-06-15,2.402,,2015-06-15,1.2,,2015-06-15,2.17,,2015-06-15,2.11,,2015-06-15,1.121
2015-06-16,0.465,,2015-06-16,4.005,,2015-06-16,3.594,,2015-06-16,1.774,,2015-06-16,2.908,,2015-06-16,3.24,,2015-06-16,3.533,,2015-06-16,1.21,,2015-06-16,2.3,,2015-06-16,1.1,,2015-06-16,2.8,,2015-06-16,5.05,,2015-06-16,1.127,,2015-06-16,2.398,,2015-06-16,1.25,,2015-06-16,2.85,,2015-06-16,2.143,,2015-06-16,1.131
2015-06-17,0.51,,2015-06-17,2.66,,2015-06-17,3.592,,2015-06-17,1.768,,2015-06-17,2.79,,2015-06-17,3.238,,2015-06-17,3.537,,2015-06-17,1.33,,2015-06-17,2.41,,2015-06-17,1.16,,2015-06-17,1.8,,2015-06-17,5.05,,2015-06-17,3.486,,2015-06-17,2.801,,2015-06-17,1.2,,2015-06-17,2.46,,2015-06-17,2.238,,2015-06-17,1.151
2015-06-18,1.65,,2015-06-18,2.1,,2015-06-18,3.589,,2015-06-18,1.779,,2015-06-18,2.858,,2015-06-18,3.164,,2015-06-18,3.482,,2015-06-18,1.4,,2015-06-18,2.7,,2015-06-18,1.24,,2015-06-18,3.8,,2015-06-18,5.05,,2015-06-18,2.501,,2015-06-18,2.13,,2015-06-18,1.3,,2015-06-18,3.5,,2015-06-18,2.478,,2015-06-18,1.202
2015-06-19,3.215,,2015-06-19,2.48,,2015-06-19,3.589,,2015-06-19,1.779,,2015-06-19,2.858,,2015-06-19,3.164,,2015-06-19,3.482,,2015-06-19,1.5,,2015-06-19,2.73,,2015-06-19,1.5,,2015-06-19,2.8,,2015-06-19,5.05,,2015-06-19,0.809,,2015-06-19,4.002,,2015-06-19,1.28,,2015-06-19,2.86,,2015-06-19,2.674,,2015-06-19,1.267
2015-06-23,0.945,,2015-06-23,1.965,,2015-06-23,3.594,,2015-06-23,1.815,,2015-06-23,2.867,,2015-06-23,3.212,,2015-06-23,3.499,,2015-06-23,1.47,,2015-06-23,2.86,,2015-06-23,1.4,,2015-06-23,3.33,,2015-06-23,5.05,,2015-06-23,1.788,,2015-06-23,3.448,,2015-06-23,1.3,,2015-06-23,2.8,,2015-06-23,2.675,,2015-06-23,1.295
2015-06-24,0.03,,2015-06-24,1.6,,2015-06-24,3.58,,2015-06-24,1.807,,2015-06-24,2.867,,2015-06-24,3.193,,2015-06-24,3.521,,2015-06-24,1.51,,2015-06-24,2.87,,2015-06-24,1.34,,2015-06-24,1.8,,2015-06-24,5.05,,2015-06-24,1.993,,2015-06-24,4.499,,2015-06-24,1.3,,2015-06-24,3.1,,2015-06-24,2.808,,2015-06-24,1.338
2015-06-25,0.725,,2015-06-25,1.395,,2015-06-25,3.615,,2015-06-25,1.811,,2015-06-25,2.864,,2015-06-25,3.192,,2015-06-25,3.527,,2015-06-25,1.43,,2015-06-25,3.02,,2015-06-25,1.35,,2015-06-25,2.96,,2015-06-25,5.05,,2015-06-25,1.494,,2015-06-25,4.596,,2015-06-25,1.35,,2015-06-25,3.11,,2015-06-25,2.884,,2015-06-25,1.357
2015-06-26,0.195,,2015-06-26,2.045,,2015-06-26,3.543,,2015-06-26,1.849,,2015-06-26,2.863,,2015-06-26,3.182,,2015-06-26,3.518,,2015-06-26,1.45,,2015-06-26,3,,2015-06-26,1.4,,2015-06-26,3.2,,2015-06-26,5.05,,2015-06-26,1.496,,2015-06-26,4.497,,2015-06-26,1.35,,2015-06-26,1.5,,2015-06-26,2.921,,2015-06-26,1.357
2015-06-29,0.115,,2015-06-29,1.51,,2015-06-29,3.518,,2015-06-29,1.8,,2015-06-29,2.875,,2015-06-29,3.206,,2015-06-29,3.507,,2015-06-29,1.4,,2015-06-29,2.75,,2015-06-29,1.37,,2015-06-29,3.2,,2015-06-29,4.8,,2015-06-29,1.618,,2015-06-29,4.998,,2015-06-29,1.33,,2015-06-29,2.84,,2015-06-29,2.84,,2015-06-29,1.34
2015-06-30,0.02,,2015-06-30,2.01,,2015-06-30,3.538,,2015-06-30,1.803,,2015-06-30,2.883,,2015-06-30,3.2,,2015-06-30,3.539,,2015-06-30,1.234,,2015-06-30,2.56,,2015-06-30,1.15,,2015-06-30,3.5,,2015-06-30,4.8,,2015-06-30,1.755,,2015-06-30,3.21,,2015-06-30,1.15,,2015-06-30,3.3,,2015-06-30,2.652,,2015-06-30,1.257
2015-07-01,0.335,,2015-07-01,2.015,,2015-07-01,3.557,,2015-07-01,1.776,,2015-07-01,2.876,,2015-07-01,3.171,,2015-07-01,3.531,,2015-07-01,1.3,,2015-07-01,2.75,,2015-07-01,1.19,,2015-07-01,2.7,,2015-07-01,4.8,,2015-07-01,1.95,,2015-07-01,3.402,,2015-07-01,1.16,,2015-07-01,2.8,,2015-07-01,2.602,,2015-07-01,1.163
2015-07-02,0.365,,2015-07-02,2.5,,2015-07-02,3.564,,2015-07-02,1.782,,2015-07-02,2.873,,2015-07-02,3.164,,2015-07-02,3.557,,2015-07-02,1.24,,2015-07-02,2.87,,2015-07-02,1.16,,2015-07-02,2.67,,2015-07-02,4.8,,2015-07-02,1.173,,2015-07-02,3.502,,2015-07-02,1.16,,2015-07-02,2.9,,2015-07-02,2.712,,2015-07-02,1.161
2015-07-03,0.25,,2015-07-03,2,,2015-07-03,3.525,,2015-07-03,1.844,,2015-07-03,2.877,,2015-07-03,3.239,,2015-07-03,3.524,,2015-07-03,1.3,,2015-07-03,2.9,,2015-07-03,1.2,,2015-07-03,2.94,,2015-07-03,4.8,,2015-07-03,1.305,,2015-07-03,4.003,,2015-07-03,1.16,,2015-07-03,2.94,,2015-07-03,2.802,,2015-07-03,1.159
2015-07-06,0.36,,2015-07-06,1.095,,2015-07-06,3.427,,2015-07-06,1.962,,2015-07-06,2.835,,2015-07-06,3.308,,2015-07-06,3.464,,2015-07-06,1.23,,2015-07-06,2.78,,2015-07-06,1.2,,2015-07-06,2.64,,2015-07-06,4.8,,2015-07-06,1.986,,2015-07-06,3.101,,2015-07-06,1.17,,2015-07-06,2.61,,2015-07-06,2.661,,2015-07-06,1.167
2015-07-07,0.285,,2015-07-07,1.01,,2015-07-07,3.249,,2015-07-07,2.026,,2015-07-07,2.788,,2015-07-07,3.272,,2015-07-07,3.418,,2015-07-07,1.26,,2015-07-07,2.6,,2015-07-07,1.3,,2015-07-07,2.65,,2015-07-07,4.8,,2015-07-07,1.679,,2015-07-07,3.054,,2015-07-07,1.2,,2015-07-07,2.6,,2015-07-07,2.61,,2015-07-07,1.176
2015-07-08,0.08,,2015-07-08,1.5,,2015-07-08,3.482,,2015-07-08,2.464,,2015-07-08,2.852,,2015-07-08,3.214,,2015-07-08,3.503,,2015-07-08,1.35,,2015-07-08,2.61,,2015-07-08,1.2,,2015-07-08,3.3,,2015-07-08,4.8,,2015-07-08,1.716,,2015-07-08,2.497,,2015-07-08,1.2,,2015-07-08,2.57,,2015-07-08,2.589,,2015-07-08,1.187
2015-07-09,0.385,,2015-07-09,1.2,,2015-07-09,3.493,,2015-07-09,2.508,,2015-07-09,2.829,,2015-07-09,3.213,,2015-07-09,3.472,,2015-07-09,1.32,,2015-07-09,2.57,,2015-07-09,1.19,,2015-07-09,2.67,,2015-07-09,4.8,,2015-07-09,1.699,,2015-07-09,3.002,,2015-07-09,1.21,,2015-07-09,2.56,,2015-07-09,2.578,,2015-07-09,1.198
2015-07-10,0.4,,2015-07-10,1.185,,2015-07-10,2.894,,2015-07-10,2.208,,2015-07-10,2.895,,2015-07-10,3.225,,2015-07-10,3.721,,2015-07-10,1.38,,2015-07-10,2.58,,2015-07-10,1.22,,2015-07-10,2.66,,2015-07-10,4.8,,2015-07-10,1.698,,2015-07-10,2.512,,2015-07-10,1.22,,2015-07-10,2.55,,2015-07-10,2.575,,2015-07-10,1.21
2015-07-13,0.41,,2015-07-13,0.695,,2015-07-13,3.018,,2015-07-13,2.275,,2015-07-13,2.264,,2015-07-13,2.844,,2015-07-13,3.668,,2015-07-13,1.4,,2015-07-13,2.58,,2015-07-13,1.3,,2015-07-13,2.52,,2015-07-13,4.8,,2015-07-13,1.23,,2015-07-13,2.506,,2015-07-13,1.21,,2015-07-13,2.53,,2015-07-13,2.553,,2015-07-13,1.224
